省代码,省,类型,xcoord,ycoord
"110000",北京市,直辖市,116.41228426897,40.1855430698115
"120000",天津市,直辖市,117.33403846515,39.2934261771651
"130000",河北省,省,116.13740392058,39.5477700425715
"140000",山西省,省,112.289509192556,37.5717461952951
"150000",内蒙古自治区,自治区,113.922096765027,44.0892654462024
"210000",辽宁省,省,122.602613994944,41.2881168186231
"220000",吉林省,省,126.188407885073,43.6676908174687
"230000",黑龙江省,省,127.76623002996,47.8616755028375
"310000",上海市,直辖市,121.469065177644,31.2400932426171
"320000",江苏省,省,119.475493944433,32.9633088704696
"330000",浙江省,省,120.110792160476,29.1960896353252
"340000",安徽省,省,117.226457189309,31.8260252015452
"350000",福建省,省,117.99001568886,26.0740620544629
"360000",江西省,省,115.72222241001,27.6140715826164
"370000",山东省,省,118.153174140883,36.3491696742167
"410000",河南省,省,113.614562880242,33.8823318747401
"420000",湖北省,省,112.271536091121,30.9754620809915
"430000",湖南省,省,111.708683778894,27.6098184500369
"440000",广东省,省,113.421584653002,23.3396353108285
"450000",广西壮族自治区,自治区,108.788407254089,23.8295413932124
"460000",海南省,省,109.809221486506,19.1421279680553
"500000",重庆市,直辖市,107.87440300207,30.0572234139207
"510000",四川省,省,102.692866486946,30.6292172844113
"520000",贵州省,省,106.874741061409,26.815487328643
"530000",云南省,省,101.486887112243,24.9749789447781
"540000",西藏自治区,自治区,88.4397689873735,31.4917384010961
"610000",陕西省,省,108.868662672996,35.190550086797
"620000",甘肃省,省,100.604107601777,37.8814921611281
"630000",青海省,省,96.0393038697445,35.6706591042393
"640000",宁夏回族自治区,自治区,106.163714348575,37.2715818786901
"650000",新疆维吾尔自治区,自治区,85.1912629582332,41.1172384560491
"710000",台湾省,省,120.967869142925,23.7470626583657
"810000",香港特别行政区,特别行政区,114.134324231316,22.3812742032591
"820000",澳门特别行政区,特别行政区,113.561375464429,22.1630230696564
