name,et,grid
Beijing,545.4080797,8
Tianjin,656.7412952,4
Hebei,569.7814797,77
Shanxi,585.2101672,64
Neimeng,295.5650323,515
Liaoning,598.277007,64
Jilin,560.1427222,85
Heilongjiang,523.2196526,215
Shanghai,932.0194627,4
Jiangsu,892.3047613,42
Zhejiang,845.2507581,39
Anhui,888.8271549,51
Fujian,877.1967635,44
Jiangxi,937.6656824,63
Shandong,729.6268542,62
Henan,771.1531136,64
Hubei,853.3459598,73
Hunan,868.6988164,72
Guangdong,1026.021549,60
Guangxi,971.6865582,85
Hainan,1224.886539,11
Chongqing,775.0473241,31
Sichuan,645.1338177,186
Guizhou,772.7867677,65
Yunnan,753.9320451,138
Xizang,404.7738728,456
Shaanxi,633.1728357,83
Gansu,334.7361566,174
Qinghai,344.9466717,279
Ningxia,375.0928051,21
Xinjiang,218.2673008,697
